tsa_id,tsa_name,county,fips
G.,Longview/Tyler,Anderson,48001
J.,Midland/Odessa,Andrews,48003
H.,Lufkin,Angelina,48005
U.,Corpus Christi,Aransas,48007
C.,Wichita Falls,Archer,48009
A.,Amarillo,Armstrong,48011
P.,San Antonio,Atascosa,48013
Q.,Houston,Austin,48015
B.,Lubbock,Bailey,48017
P.,San Antonio,Bandera,48019
O.,Austin,Bastrop,48021
C.,Wichita Falls,Baylor,48023
U.,Corpus Christi,Bee,48025
L.,Belton/Killeen,Bell,48027
P.,San Antonio,Bexar,48029
O.,Austin,Blanco,48031
B.,Lubbock,Borden,48033
M.,Waco,Bosque,48035
F.,Paris,Bowie,48037
R.,Galveston,Brazoria,48039
N.,Bryan/College Station,Brazos,48041
J.,Midland/Odessa,Brewster,48043
A.,Amarillo,Briscoe,48045
U.,Corpus Christi,Brooks,48047
D.,Abilene,Brown,48049
N.,Bryan/College Station,Burleson,48051
O.,Austin,Burnet,48053
O.,Austin,Caldwell,48055
S.,Victoria,Calhoun,48057
D.,Abilene,Callahan,48059
V.,Lower Rio Grande Valley,Cameron,48061
G.,Longview/Tyler,Camp,48063
A.,Amarillo,Carson,48065
F.,Paris,Cass,48067
B.,Lubbock,Castro,48069
R.,Galveston,Chambers,48071
G.,Longview/Tyler,Cherokee,48073
A.,Amarillo,Childress,48075
C.,Wichita Falls,Clay,48077
B.,Lubbock,Cochran,48079
K.,San Angelo,Coke,48081
D.,Abilene,Coleman,48083
E.,Dallas/Ft. Worth,Collin,48085
A.,Amarillo,Collingsworth,48087
Q.,Houston,Colorado,48089
P.,San Antonio,Comal,48091
D.,Abilene,Comanche,48093
K.,San Angelo,Concho,48095
E.,Dallas/Ft. Worth,Cooke,48097
L.,Belton/Killeen,Coryell,48099
B.,Lubbock,Cottle,48101
J.,Midland/Odessa,Crane,48103
K.,San Angelo,Crockett,48105
B.,Lubbock,Crosby,48107
I.,El Paso,Culberson,48109
A.,Amarillo,Dallam,48111
E.,Dallas/Ft. Worth,Dallas,48113
B.,Lubbock,Dawson,48115
A.,Amarillo,Deaf Smith,48117
F.,Paris,Delta,48119
E.,Dallas/Ft. Worth,Denton,48121
S.,Victoria,Dewitt,48123
B.,Lubbock,Dickens,48125
P.,San Antonio,Dimmit,48127
A.,Amarillo,Donley,48129
U.,Corpus Christi,Duval,48131
D.,Abilene,Eastland,48133
J.,Midland/Odessa,Ector,48135
P.,San Antonio,Edwards,48137
I.,El Paso,El Paso,48141
E.,Dallas/Ft. Worth,Ellis,48139
E.,Dallas/Ft. Worth,Erath,48143
L.,Belton/Killeen,Falls,48145
E.,Dallas/Ft. Worth,Fannin,48147
O.,Austin,Fayette,48149
D.,Abilene,Fisher,48151
B.,Lubbock,Floyd,48153
C.,Wichita Falls,Foard,48155
Q.,Houston,Fort Bend,48157
G.,Longview/Tyler,Franklin,48159
G.,Longview/Tyler,Freestone,48161
P.,San Antonio,Frio,48163
B.,Lubbock,Gaines,48165
R.,Galveston,Galveston,48167
B.,Lubbock,Garza,48169
P.,San Antonio,Gillespie,48171
J.,Midland/Odessa,Glasscock,48173
S.,Victoria,Goliad,48175
P.,San Antonio,Gonzales,48177
A.,Amarillo,Gray,48179
E.,Dallas/Ft. Worth,Grayson,48181
G.,Longview/Tyler,Gregg,48183
N.,Bryan/College Station,Grimes,48185
P.,San Antonio,Guadalupe,48187
B.,Lubbock,Hale,48189
A.,Amarillo,Hall,48191
L.,Belton/Killeen,Hamilton,48193
A.,Amarillo,Hansford,48195
C.,Wichita Falls,Hardeman,48197
R.,Galveston,Hardin,48199
Q.,Houston,Harris,48201
G.,Longview/Tyler,Harrison,48203
A.,Amarillo,Hartley,48205
D.,Abilene,Haskell,48207
O.,Austin,Hays,48209
A.,Amarillo,Hemphill,48211
G.,Longview/Tyler,Henderson,48213
V.,Lower Rio Grande Valley,Hidalgo,48215
M.,Waco,Hill,48217
B.,Lubbock,Hockley,48219
E.,Dallas/Ft. Worth,Hood,48221
F.,Paris,Hopkins,48223
G.,Longview/Tyler,Houston,48225
J.,Midland/Odessa,Howard,48227
I.,El Paso,Hudspeth,48229
E.,Dallas/Ft. Worth,Hunt,48231
A.,Amarillo,Hutchinson,48233
K.,San Angelo,Irion,48235
C.,Wichita Falls,Jack,48237
S.,Victoria,Jackson,48239
R.,Galveston,Jasper,48241
J.,Midland/Odessa,Jeff Davis,48243
R.,Galveston,Jefferson,48245
T.,Laredo,Jim Hogg,48247
U.,Corpus Christi,Jim Wells,48249
D.,Abilene,Jones,48253
